beachUrl,date,reading,prediction,maxSwimStatus
Osterman-Beach,05/22/2015,0.0,4.9,No Restrictions
Osterman-Beach,05/23/2015,5.0,2.8,No Restrictions
Osterman-Beach,05/24/2015,0.0,3.2,No Restrictions
Osterman-Beach,05/25/2015,0.0,6.2,No Restrictions
Osterman-Beach,05/26/2015,4.0,7.1,No Restrictions
Osterman-Beach,05/27/2015,1.0,9.7,No Restrictions
Osterman-Beach,05/28/2015,3.0,4.8,No Restrictions
Osterman-Beach,05/29/2015,5.0,6.0,No Restrictions
Osterman-Beach,05/30/2015,0.0,12.1,Swim Ban
Osterman-Beach,05/31/2015,0.0,97.4,Swim Ban
Osterman-Beach,06/01/2015,113.0,15.3,Swim Ban
Osterman-Beach,06/02/2015,32.0,9.3,No Restrictions
Osterman-Beach,06/03/2015,5.0,5.6,No Restrictions
Osterman-Beach,06/04/2015,2.0,5.6,No Restrictions
Osterman-Beach,06/05/2015,92.0,18.3,Swim Advisory
Osterman-Beach,06/06/2015,0.0,47.1,Swim Advisory
Osterman-Beach,06/07/2015,0.0,7.8,No Restrictions
Osterman-Beach,06/08/2015,0.0,16.7,Swim Ban
Lane-Beach,05/22/2015,9.0,5.2,No Restrictions
Lane-Beach,05/23/2015,5.0,2.8,No Restrictions
Lane-Beach,05/24/2015,0.0,3.2,No Restrictions
Lane-Beach,05/25/2015,0.0,6.2,No Restrictions
Lane-Beach,05/26/2015,4.0,7.1,No Restrictions
Lane-Beach,05/27/2015,1.0,9.7,No Restrictions
Lane-Beach,05/28/2015,3.0,4.8,No Restrictions
Lane-Beach,05/29/2015,5.0,6.0,No Restrictions
Lane-Beach,05/30/2015,0.0,12.1,Swim Ban
Lane-Beach,05/31/2015,0.0,97.4,Swim Ban
Lane-Beach,06/01/2015,113.0,15.3,Swim Ban
Lane-Beach,06/02/2015,32.0,9.3,No Restrictions
Lane-Beach,06/03/2015,5.0,5.6,No Restrictions
Lane-Beach,06/04/2015,2.0,5.6,No Restrictions
Lane-Beach,06/05/2015,92.0,18.3,Swim Advisory
Lane-Beach,06/06/2015,0.0,47.1,Swim Advisory
Lane-Beach,06/07/2015,0.0,7.8,No Restrictions
Lane-Beach,06/08/2015,0.0,16.7,Swim Ban
Montrose-Beach,05/22/2015,0.0,135.7,No Restrictions
Montrose-Beach,05/23/2015,10.0,50.3,No Restrictions
Montrose-Beach,05/24/2015,0.0,94.5,No Restrictions
Montrose-Beach,05/25/2015,0.0,227.2,No Restrictions
Montrose-Beach,05/26/2015,636.0,125.4,No Restrictions
Montrose-Beach,05/27/2015,261.0,86.4,Swim Advisory
Montrose-Beach,05/28/2015,51.0,42.0,Swim Advisory
Montrose-Beach,05/29/2015,1218.0,48.7,No Restrictions
Montrose-Beach,05/30/2015,100.0,224.1,Swim Advisory
Montrose-Beach,05/31/2015,199.0,537.5,Swim Advisory
Montrose-Beach,06/01/2015,199.0,114.4,Swim Advisory
Montrose-Beach,06/02/2015,98.0,52.7,No Restrictions
Montrose-Beach,06/03/2015,15.0,38.9,No Restrictions
Montrose-Beach,06/04/2015,18.0,67.9,No Restrictions
Montrose-Beach,06/05/2015,5.0,125.6,Swim Advisory
Montrose-Beach,06/06/2015,0.0,102.4,Swim Advisory
Montrose-Beach,06/07/2015,0.0,83.7,No Restrictions
Montrose-Beach,06/08/2015,0.0,131.2,Swim Ban
Foster-Beach,05/22/2015,9.0,15.6,No Restrictions
Foster-Beach,05/23/2015,5.0,12.9,No Restrictions
Foster-Beach,05/24/2015,0.0,22.2,No Restrictions
Foster-Beach,05/25/2015,0.0,51.8,No Restrictions
Foster-Beach,05/26/2015,42.0,16.8,No Restrictions
Foster-Beach,05/27/2015,62.0,8.9,No Restrictions
Foster-Beach,05/28/2015,7.0,7.4,No Restrictions
Foster-Beach,05/29/2015,8.0,12.0,No Restrictions
Foster-Beach,05/30/2015,0.0,30.0,Swim Ban
Foster-Beach,05/31/2015,0.0,125.4,Swim Ban
Foster-Beach,06/01/2015,64.0,59.2,Swim Advisory
Foster-Beach,06/02/2015,51.0,15.6,No Restrictions
Foster-Beach,06/03/2015,11.0,11.9,No Restrictions
Foster-Beach,06/04/2015,12.0,12.7,No Restrictions
Foster-Beach,06/05/2015,38.0,33.6,Swim Advisory
Foster-Beach,06/06/2015,0.0,30.0,Swim Advisory
Foster-Beach,06/07/2015,0.0,14.0,No Restrictions
Foster-Beach,06/08/2015,0.0,19.9,Swim Ban
57th-Street-Beach,05/22/2015,230.0,16.8,No Restrictions
57th-Street-Beach,05/23/2015,14.0,20.9,No Restrictions
57th-Street-Beach,05/24/2015,0.0,71.8,Swim Ban
57th-Street-Beach,05/25/2015,0.0,138.5,No Restrictions
57th-Street-Beach,05/26/2015,73.0,88.9,Swim Advisory
57th-Street-Beach,05/27/2015,5.0,33.6,No Restrictions
57th-Street-Beach,05/28/2015,3.0,25.0,No Restrictions
57th-Street-Beach,05/29/2015,2.0,38.9,No Restrictions
57th-Street-Beach,05/30/2015,0.0,140.9,Swim Ban
